epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1006,1.57408,3.73827,1.35742,0.02386,0.7716,0.39009,0.2885,1.53039,3.46128,1.26596,1.25e-05,1.25e-05,1.25e-05
2,23.78,1.52097,3.68118,1.37404,0.02508,0.78395,0.4058,0.28762,1.46733,3.45382,1.22704,3.67575e-05,3.67575e-05,3.67575e-05
3,35.515,1.3335,3.65143,1.29384,0.02762,0.80864,0.43546,0.30163,1.45327,3.44495,1.20864,6.0025e-05,6.0025e-05,6.0025e-05
4,46.583,1.29639,3.64856,1.26501,0.03343,0.87037,0.42274,0.28931,1.45207,3.40195,1.19505,8.23025e-05,8.23025e-05,8.23025e-05
5,57.3109,1.26804,3.577,1.22234,0.03656,0.91358,0.46682,0.33428,1.45627,3.32043,1.14229,0.00010359,0.00010359,0.00010359
6,68.3488,1.25376,3.52166,1.17918,0.03909,0.95679,0.45888,0.30208,1.44632,3.2566,1.09951,0.000123888,0.000123888,0.000123888
7,79.05,1.20335,3.27155,1.11953,0.0406,0.97531,0.43126,0.29209,1.51269,3.23979,1.14055,0.000143195,0.000143195,0.000143195
8,89.145,1.27652,3.05364,1.12018,0.03974,0.96296,0.33004,0.16514,1.52955,3.24666,1.15668,0.000161513,0.000161513,0.000161513
9,99.5217,1.19425,2.96863,1.05516,0.03892,0.95679,0.3006,0.15921,1.47565,3.23516,1.13671,0.00017884,0.00017884,0.00017884
10,110.089,1.18376,2.91393,1.11176,0.0392,0.96296,0.30177,0.16541,1.39295,3.21743,1.09493,0.000195178,0.000195178,0.000195178
11,120.645,1.25049,2.88404,1.0878,0.04069,0.97531,0.30989,0.16483,1.3801,3.20642,1.08437,0.000210525,0.000210525,0.000210525
12,131.144,1.13782,2.72317,1.07781,0.04047,0.97531,0.31002,0.16931,1.37755,3.20174,1.08472,0.000224883,0.000224883,0.000224883
13,141.431,1.20199,2.70538,1.0842,0.04058,0.97531,0.31176,0.16781,1.38241,3.20184,1.08994,0.00023825,0.00023825,0.00023825
14,151.617,1.14095,2.42549,1.06675,0.04072,0.97531,0.30958,0.15924,1.39983,3.21117,1.0993,0.000250627,0.000250627,0.000250627
15,161.966,1.18423,2.37681,1.0539,0.04286,0.98148,0.31419,0.15716,1.40955,3.22084,1.10315,0.000262015,0.000262015,0.000262015
16,175.704,1.22408,2.1433,1.09172,0.04435,0.98765,0.3163,0.15761,1.44198,3.20957,1.11879,0.000272412,0.000272412,0.000272412
17,189.808,1.25489,2.20026,1.11006,0.0445,0.98148,0.3141,0.15288,1.46647,3.19883,1.1231,0.00028182,0.00028182,0.00028182
18,306.196,1.1703,1.99647,1.08891,0.04484,0.98148,0.31376,0.15346,1.46882,3.1793,1.12118,0.000290237,0.000290237,0.000290237
19,318.019,1.18093,1.98239,1.05876,0.04476,0.97531,0.30936,0.1557,1.47662,3.15981,1.12605,0.000297665,0.000297665,0.000297665
20,328.571,1.15984,1.82854,1.05543,0.04548,0.97531,0.3082,0.15471,1.5049,3.15249,1.14043,0.000304103,0.000304103,0.000304103
21,338.804,1.15245,1.68879,1.05756,0.04643,0.96914,0.30844,0.15244,1.5158,3.13652,1.15395,0.00030955,0.00030955,0.00030955
22,349.367,1.16807,1.75103,1.06243,0.0472,0.96914,0.30735,0.15984,1.51033,3.1183,1.15957,0.000314008,0.000314008,0.000314008
23,359.549,1.18881,1.61421,1.11515,0.0465,0.96296,0.31192,0.16548,1.50163,3.09379,1.16355,0.000317475,0.000317475,0.000317475
24,369.984,1.16515,1.52823,1.13106,0.04725,0.96296,0.31376,0.16792,1.49013,3.08464,1.16236,0.000319953,0.000319953,0.000319953
25,380.079,1.16331,1.4629,1.13733,0.04636,0.95679,0.31988,0.17352,1.47776,3.06713,1.17125,0.00032144,0.00032144,0.00032144
26,390.449,1.08545,1.43739,1.09593,0.04628,0.95679,0.35445,0.19331,1.49023,3.0433,1.18554,0.000321938,0.000321938,0.000321938
27,400.756,1.17508,1.34527,1.08847,0.04694,0.95679,0.38899,0.21788,1.45465,3.00161,1.17604,0.000321445,0.000321445,0.000321445
28,410.958,1.11489,1.19203,1.13598,0.04694,0.95679,0.38899,0.21788,1.45465,3.00161,1.17604,0.000319962,0.000319962,0.000319962
29,421.351,1.14499,1.23234,1.13063,0.04653,0.95679,0.4979,0.30853,1.42116,2.93835,1.16008,0.00031749,0.00031749,0.00031749
30,431.587,1.101,1.25996,1.09186,0.04716,0.96296,0.56209,0.35759,1.41585,2.86701,1.15388,0.000314028,0.000314028,0.000314028
31,442.027,1.05639,1.14147,1.07464,0.04716,0.96296,0.56209,0.35759,1.41585,2.86701,1.15388,0.000309575,0.000309575,0.000309575
32,452.379,1.07878,1.12546,1.11716,0.26812,0.95679,0.61803,0.40273,1.43247,2.80053,1.15008,0.000304132,0.000304132,0.000304132
33,462.766,1.08641,1.12481,1.08298,0.82668,0.31905,0.65394,0.4225,1.46847,2.70356,1.14087,0.0002977,0.0002977,0.0002977
34,472.811,1.04402,1.00789,1.07097,0.82668,0.31905,0.65394,0.4225,1.46847,2.70356,1.14087,0.000290277,0.000290277,0.000290277
35,483.316,1.10149,1.08804,1.12093,0.82491,0.2937,0.65145,0.406,1.48484,2.63342,1.14207,0.000281865,0.000281865,0.000281865
36,497.317,1.08214,1.03819,1.12408,0.86172,0.41995,0.66045,0.43859,1.49552,2.54808,1.14943,0.000272463,0.000272463,0.000272463
37,966.999,1.0775,1.00579,1.08295,0.86172,0.41995,0.66045,0.43859,1.49552,2.54808,1.14943,0.00026207,0.00026207,0.00026207
38,980.385,1.08043,1.04723,1.10269,0.80495,0.44377,0.64664,0.43235,1.48841,2.46939,1.16185,0.000250687,0.000250687,0.000250687
39,991.832,1.05165,1.00518,1.0914,0.81949,0.50753,0.63078,0.42976,1.46048,2.39003,1.16802,0.000238315,0.000238315,0.000238315
40,1002.81,1.05245,1.00751,1.13444,0.81949,0.50753,0.63078,0.42976,1.46048,2.39003,1.16802,0.000224952,0.000224952,0.000224952
41,1013.12,1.11499,1.14095,1.21311,0.8018,0.52529,0.6249,0.4279,1.44118,2.31516,1.18898,0.0002106,0.0002106,0.0002106
42,1023.34,1.11931,1.1519,1.21485,0.80021,0.53542,0.64079,0.43932,1.44294,2.19887,1.20497,0.000195258,0.000195258,0.000195258
43,1033.37,1.12973,1.05159,1.1438,0.80021,0.53542,0.64079,0.43932,1.44294,2.19887,1.20497,0.000178925,0.000178925,0.000178925
44,1043.57,1.04145,1.00074,1.15375,0.79975,0.53375,0.65079,0.44568,1.44321,2.06576,1.23466,0.000161603,0.000161603,0.000161603
45,1053.51,1.01185,0.99015,1.1237,0.79975,0.53375,0.65079,0.44568,1.44321,2.06576,1.23466,0.00014329,0.00014329,0.00014329
46,1063.72,1.02467,1.0289,1.1286,0.79504,0.53399,0.65321,0.44568,1.43687,1.92676,1.27474,0.000123987,0.000123987,0.000123987
47,1073.69,1.01677,0.92361,1.12835,0.79504,0.53399,0.65321,0.44568,1.43687,1.92676,1.27474,0.000103695,0.000103695,0.000103695
48,1083.95,1.02974,0.95522,1.1418,0.79214,0.55767,0.67147,0.43499,1.42169,1.81314,1.30919,8.24125e-05,8.24125e-05,8.24125e-05
49,1093.95,1.0215,0.958,1.14101,0.79214,0.55767,0.67147,0.43499,1.42169,1.81314,1.30919,6.014e-05,6.014e-05,6.014e-05
50,1104.28,1.0247,0.95973,1.13164,0.78444,0.57023,0.66422,0.42124,1.42167,1.7207,1.33737,3.68775e-05,3.68775e-05,3.68775e-05
